source_log,sample_id,question_id,original_score,verifier_v3_score,changed,status,best_similarity,exact_sequence_match,constraint_mode,reason
gpt56sol_8tasks_method_blind.eval,labbench2_1de624eb,0a4f4de7-0821-40d0-9bbb-2ea22670186e,I,C,True,pass,0.9968784838350055,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 5 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate passed. Whole-reference similarity 0.996878 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_57de9fca,dff28bd4-89ea-401e-a3c1-ce8733512b79,I,C,True,pass,0.9227183259090438,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 7 module copy constraints and 2 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.922718 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_673f6ad6,fb8fc27d-592a-40e8-a65f-9e1a60b7a708,I,C,True,pass,0.8397611167074399,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 6 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.839761 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_77bb0744,21e4def0-1c9f-4628-8724-81db65cdb7f8,I,C,True,pass,0.99951992318771,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 3 module copy constraints and 0 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.999520 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_bb65497b,3a6704ab-70b0-4b2d-a039-5fab5a1a33cc,I,C,True,pass,0.9959518990355994,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 5 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.995952 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_faf1bf30,a4bf037c-2477-4cca-9ca3-12c5ee63c44f,C,C,False,pass,0.9972214097689382,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 5 module copy constraints and 2 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.997221 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_fc9587e0,bc918101-32f3-4cba-a435-110093600f24,I,C,True,pass,0.9891639222352067,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 6 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.989164 is advisory in constraint mode.
gpt56sol_8tasks_method_blind.eval,labbench2_ffe6ad4b,31d22b22-0d48-41a4-88ed-b46ff451be52,I,C,True,pass,0.9857171196191232,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 7 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.985717 is advisory in constraint mode.
gpt56sol_cloning_pilot_3tasks.eval,labbench2_4ea2fad5,02e631d2-19f5-50f9-a43a-af5e7440fb7d,I,C,True,pass,1.0,True,True,Constraint verifier passed candidate 1/1: construct constraints passed: 6 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 1.000000 is advisory in constraint mode.
gpt56sol_cloning_pilot_3tasks.eval,labbench2_524243f7,a641ec71-1142-5e19-a1c5-354142bcc6c4,I,C,True,pass,1.0,True,True,Constraint verifier passed candidate 1/1: construct constraints passed: 5 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 1.000000 is advisory in constraint mode.
gpt56sol_cloning_pilot_3tasks.eval,labbench2_c7ea2dd4,777f42d4-f239-5979-8a6e-e13daceba2a3,C,C,False,pass,1.0,True,True,Constraint verifier passed candidate 1/1: construct constraints passed: 6 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 1.000000 is advisory in constraint mode.
gpt56sol_smoke_2tasks_hinted.eval,labbench2_1de624eb,0a4f4de7-0821-40d0-9bbb-2ea22670186e,I,C,True,pass,0.9968784838350055,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 5 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate passed. Whole-reference similarity 0.996878 is advisory in constraint mode.
gpt56sol_smoke_2tasks_hinted.eval,labbench2_bb65497b,3a6704ab-70b0-4b2d-a039-5fab5a1a33cc,I,C,True,pass,0.9903937381404174,False,True,Constraint verifier passed candidate 1/1: construct constraints passed: 5 module copy constraints and 1 explicit relationships; circular topology gate passed; digest gate not configured. Whole-reference similarity 0.990394 is advisory in constraint mode.
