source_log,sample_id,question_id,original_score,hybrid_v3_score,changed,status,best_similarity,exact_sequence_match,reason
gpt56sol_8tasks_method_blind.eval,labbench2_1de624eb,0a4f4de7-0821-40d0-9bbb-2ea22670186e,I,I,False,fail,0.9968784838350055,False,Structural gate failed after the sequence and topology gates passed (the digest gate either passed or was not configured): candidate 1: pLannotate: missing reference features ['cds:snapgene:t2a']; lower-identity/coverage features ['cds:snapgene:bsd']; circular order/orientation differs from the reference (after allowing rotation and whole-molecule reverse complement)
gpt56sol_8tasks_method_blind.eval,labbench2_57de9fca,dff28bd4-89ea-401e-a3c1-ce8733512b79,I,I,False,fail,0.9227183259090438,False,"Sequence gate failed: no candidate reached the required similarity threshold (best 0.922718; required 0.950000). Topology, digest, repeat, and feature gates were not evaluated for that candidate."
gpt56sol_8tasks_method_blind.eval,labbench2_673f6ad6,fb8fc27d-592a-40e8-a65f-9e1a60b7a708,I,I,False,fail,0.8397611167074399,False,"Sequence gate failed: no candidate reached the required similarity threshold (best 0.839761; required 0.950000). Topology, digest, repeat, and feature gates were not evaluated for that candidate."
gpt56sol_8tasks_method_blind.eval,labbench2_77bb0744,21e4def0-1c9f-4628-8724-81db65cdb7f8,I,C,True,pass,0.99951992318771,False,Hybrid verifier passed candidate 1/1: sequence similarity 0.999520 (similarity gate passed at threshold 0.950000); circular topology gate passed; digest gate not configured; repeat gate passed: 0 new canonical 50-bp direct/inverted repeat motifs (candidate total 0; reference total 0); input GenBank gate passed: 10/10 reference features with matching copy count and circular order/orientation; pLannotate gate passed: 10/10 reference features with matching copy count and circular order/orientation.
gpt56sol_8tasks_method_blind.eval,labbench2_bb65497b,3a6704ab-70b0-4b2d-a039-5fab5a1a33cc,I,I,False,fail,0.9959518990355994,False,Structural gate failed after the sequence and topology gates passed (the digest gate either passed or was not configured): candidate 1: repeat gate failed: 51 new canonical 50-bp direct/inverted repeat motifs (candidate total 708; reference total 658) | candidate 1: pLannotate: unexpected features ['cds:fpbase:mcherry x2']; circular order/orientation differs from the reference (after allowing rotation and whole-molecule reverse complement)
gpt56sol_8tasks_method_blind.eval,labbench2_faf1bf30,a4bf037c-2477-4cca-9ca3-12c5ee63c44f,C,C,False,pass,0.9972214097689382,False,Hybrid verifier passed candidate 1/1: sequence similarity 0.997221 (similarity gate passed at threshold 0.950000); circular topology gate passed; digest gate not configured; repeat gate passed: 0 new canonical 50-bp direct/inverted repeat motifs (candidate total 0; reference total 0); input GenBank gate passed: 9/9 reference features with matching copy count and circular order/orientation; pLannotate gate passed: 7/7 reference features with matching copy count and circular order/orientation.
gpt56sol_8tasks_method_blind.eval,labbench2_fc9587e0,bc918101-32f3-4cba-a435-110093600f24,I,C,True,pass,0.9891639222352067,False,Hybrid verifier passed candidate 1/1: sequence similarity 0.989164 (similarity gate passed at threshold 0.950000); circular topology gate passed; digest gate not configured; repeat gate passed: 0 new canonical 50-bp direct/inverted repeat motifs (candidate total 563; reference total 563); input GenBank gate passed: 12/12 reference features with matching copy count and circular order/orientation; pLannotate gate passed: 9/9 reference features with matching copy count and circular order/orientation.
gpt56sol_8tasks_method_blind.eval,labbench2_ffe6ad4b,31d22b22-0d48-41a4-88ed-b46ff451be52,I,I,False,fail,0.9857171196191232,False,"Structural gate failed after the sequence and topology gates passed (the digest gate either passed or was not configured): candidate 1: input GenBank: unexpected features ['cds:3xflag:66', 'cds:sv40_nls:21']; circular order/orientation differs from the reference (after allowing rotation and whole-molecule reverse complement); inferred promoter-CDS-terminator/poly(A) relationships differ"
gpt56sol_cloning_pilot_3tasks.eval,labbench2_4ea2fad5,02e631d2-19f5-50f9-a43a-af5e7440fb7d,I,C,True,pass,1.0,True,Hybrid verifier passed candidate 1/1: sequence similarity 1.000000 (exact circular/reverse-complement sequence match); circular topology gate passed; digest gate not configured; repeat gate passed: 0 new canonical 50-bp direct/inverted repeat motifs (candidate total 0; reference total 0); input GenBank gate passed: 12/12 reference features with matching copy count and circular order/orientation; pLannotate gate passed: 12/12 reference features with matching copy count and circular order/orientation.
gpt56sol_cloning_pilot_3tasks.eval,labbench2_524243f7,a641ec71-1142-5e19-a1c5-354142bcc6c4,I,C,True,pass,1.0,True,Hybrid verifier passed candidate 1/1: sequence similarity 1.000000 (exact circular/reverse-complement sequence match); circular topology gate passed; digest gate not configured; repeat gate passed: 0 new canonical 50-bp direct/inverted repeat motifs (candidate total 812; reference total 812); input GenBank gate passed: 12/12 reference features with matching copy count and circular order/orientation; pLannotate gate passed: 12/12 reference features with matching copy count and circular order/orientation.
gpt56sol_cloning_pilot_3tasks.eval,labbench2_c7ea2dd4,777f42d4-f239-5979-8a6e-e13daceba2a3,C,C,False,pass,1.0,True,Hybrid verifier passed candidate 1/1: sequence similarity 1.000000 (exact circular/reverse-complement sequence match); circular topology gate passed; digest gate not configured; repeat gate passed: 0 new canonical 50-bp direct/inverted repeat motifs (candidate total 0; reference total 0); input GenBank gate passed: 13/13 reference features with matching copy count and circular order/orientation; pLannotate gate passed: 12/12 reference features with matching copy count and circular order/orientation.
